MRP,RAM_Size,RAM_Type,Display,Processor,Storage,OS,Brand
26490,4,0,11.6,17,5,0,1
80249,8,0,16.1,9,6,0,3
129999,8,0,15.6,13,1,0,5
76990,8,0,14.0,9,4,0,0
36990,8,0,15.6,12,6,0,0
107790,16,0,15.6,15,6,0,6
75990,16,0,14.0,13,6,0,4
95990,16,4,14.0,13,6,0,0
61999,8,0,15.6,13,6,0,5
28990,8,0,14.0,17,5,0,3
54990,8,0,15.6,13,6,0,1
56990,16,0,15.6,15,6,0,0
45990,8,0,14.0,13,5,0,0
38216,8,0,14.1,12,6,0,0
79990,8,0,15.6,15,6,0,6
43990,4,0,15.6,12,2,0,4
108250,16,0,16.1,9,4,0,3
28990,4,0,15.6,12,0,0,0
389990,32,1,17.3,16,5,0,6
67224,16,0,15.6,13,6,0,4
114990,16,0,15.6,9,2,0,5
61249,4,0,14.0,13,0,0,0
69990,16,0,15.6,13,6,0,3
69990,8,0,14.0,8,6,3,1
37990,8,0,15.6,2,5,0,1
36990,8,4,14.0,13,6,0,8
29980,4,0,11.6,17,4,0,0
41600,8,0,15.6,2,6,0,4
61986,8,0,15.6,13,6,0,0
38999,8,0,15.6,2,5,0,3
31990,4,0,14.0,12,5,0,1
46990,8,0,15.6,13,6,0,0
37990,8,4,14.0,13,6,0,8
61490,8,0,15.6,8,2,0,5
109990,16,0,15.6,9,4,0,3
54990,8,0,15.6,8,6,0,3
50990,8,0,14.0,8,6,0,1
62190,8,0,15.6,13,0,0,6
24390,4,2,15.6,17,6,4,0
36990,8,0,15.6,12,0,0,1
159990,16,0,15.6,9,4,0,3
34490,4,0,14.0,12,5,0,0
99990,16,0,16.6,11,6,0,0
79990,8,4,13.3,13,6,0,0
41490,8,0,15.6,12,2,0,3
206581,16,1,15.6,9,4,0,4
59990,8,0,15.6,8,6,0,0
62990,16,0,15.6,13,6,0,5
194990,16,1,15.6,11,4,0,0
62990,8,0,15.6,8,2,0,0
61990,8,0,15.6,8,6,0,1
105990,16,1,15.6,9,4,0,0
155490,16,1,15.6,15,4,0,5
19990,4,2,14.1,17,4,0,12
33499,4,0,15.6,12,0,0,1
63990,8,0,15.6,13,6,0,3
124990,16,0,15.6,16,4,0,5
21990,4,0,11.6,17,6,0,0
30100,4,0,14.0,17,5,0,1
199990,32,1,17.3,15,4,0,3
61130,8,0,15.6,13,2,0,5
40990,8,0,15.6,12,2,0,1
75990,8,0,15.6,13,4,0,0
46890,8,0,15.6,12,6,0,3
19990,4,0,11.6,17,6,0,0
89990,16,0,14.0,15,6,0,0
59790,8,0,15.6,13,6,0,4
125990,16,0,15.6,16,4,0,6
249990,32,1,16.0,9,5,0,0
149990,16,1,15.6,9,4,0,0
36990,8,0,15.6,20,5,0,4
85990,16,0,15.6,13,6,0,0
60990,8,0,14.0,9,6,0,3
87900,8,1,15.6,13,6,0,4
27490,4,0,15.6,2,0,0,1
28999,8,0,14.0,2,0,0,3
117990,16,0,15.6,15,3,0,5
61497,8,0,15.6,13,2,0,4
70400,8,0,16.1,8,6,0,3
69000,16,0,14.0,13,6,0,1
149990,16,1,15.6,9,4,0,0
96579,8,1,16.1,8,6,0,3
101990,16,0,15.6,15,6,0,4
94990,8,1,16.1,9,6,0,3
314990,32,1,17.3,15,5,0,6
46900,8,0,15.0,12,2,0,4
331990,32,1,16.0,16,5,0,0
116490,16,1,15.6,15,4,0,4
64590,8,0,15.6,4,6,0,3
137990,16,1,15.6,15,4,0,4
55690,8,0,14.0,13,6,0,4
109990,16,0,15.6,15,6,0,1
79990,8,0,15.6,15,2,0,0
130500,16,0,16.0,11,4,0,0
361990,32,1,16.0,11,5,0,0
211990,16,1,16.0,11,4,0,0
39890,4,0,15.0,12,5,0,4
139990,16,0,15.6,15,4,0,6
99990,16,0,15.6,15,2,0,6
66700,16,0,14.0,13,6,0,3
68990,8,0,15.6,13,2,0,4
434830,32,0,17.3,16,4,0,4
345390,32,0,15.6,16,4,0,13
105822,16,0,15.6,15,6,0,3
28490,4,4,11.6,17,6,4,1
66990,16,0,15.6,13,6,0,1
86999,8,0,15.6,13,6,0,5
36990,8,0,15.6,12,5,0,0
23250,4,0,11.6,17,5,0,1
42390,8,0,14.0,12,5,0,4
58990,8,0,14.0,13,6,0,1
110990,16,0,15.6,15,4,0,0
74590,8,0,15.6,13,1,0,5
71990,8,0,15.6,8,6,0,4
84990,16,0,14.0,13,6,0,1
119990,16,5,13.3,9,4,0,0
214990,32,0,15.6,15,4,0,6
48790,8,0,14.0,12,6,0,6
76000,16,0,16.0,9,6,0,4
224990,32,4,13.4,11,4,0,0
49990,8,4,15.6,12,6,0,8
164990,16,5,13.4,15,6,0,0
31490,8,0,15.6,2,5,0,3
48077,8,0,15.6,12,6,0,4
154990,16,0,15.6,11,4,0,0
224990,32,0,15.6,15,4,0,0
44990,8,0,15.6,13,0,0,0
65990,8,0,15.6,13,6,0,0
31990,8,0,14.1,12,0,0,0
38980,8,0,14.0,12,5,0,1
68990,8,0,15.6,8,6,0,3
43090,8,0,15.6,12,5,0,4
49348,8,0,15.6,12,6,0,4
221774,16,1,15.6,15,6,0,4
73990,8,0,15.6,8,6,0,1
77990,16,0,16.0,9,6,0,4
214790,16,0,15.6,15,4,0,13
199990,16,0,15.6,15,6,0,13
52414,8,0,14.0,8,6,0,4
179990,16,1,16.0,15,4,0,0
25990,4,2,14.0,17,6,4,0
80615,16,0,14.0,13,6,0,4
155990,16,1,15.6,9,4,0,0
49990,16,4,14.0,15,6,0,8
157990,16,0,16.0,15,4,0,1
92990,16,1,15.6,13,6,0,0
171990,16,1,16.0,9,4,0,0
151990,16,5,13.4,11,4,0,0
233990,16,6,14.0,15,5,0,0
76590,16,1,13.3,13,6,0,4
90000,16,0,15.6,9,6,0,3
23490,4,2,11.6,17,6,4,0
125990,16,5,14.0,15,6,0,0
50990,8,0,15.6,13,2,0,1
