,MRP,RAM_Size(GB),RAM_Type,Processor,Storage(GB),OS,Brand
374,69999,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,DELL
375,301990,32,DDR5,Intel Core i9 ,1,Windows,ASUS
378,37000,8,DDR4,Intel Core i3 ,256,Windows,Lenovo
379,64990,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
382,42690,8,DDR4,Intel Core i3 ,256,Windows,DELL
383,140990,16,DDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
384,38990,4,DDR4,Intel Core i3 ,256,Windows,Lenovo
385,128990,16,LPDDR4X,Intel Core i7 ,512,Windows,HP
386,54999,8,DDR4,Intel Core i3 ,512,Windows,acer
388,60130,8,DDR4,Intel Core i5 ,256,Windows,acer
389,29490,8,DDR4,Intel Pentium Silver ,256,Windows,acer
390,72490,8,DDR4,Intel Core i5 ,512,Windows,DELL
392,73990,16,DDR4,Intel Core i5 ,512,Windows,GIGABYTE
393,47130,8,DDR4,Intel Core i5 ,0,Windows,acer
394,55600,8,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,Lenovo
396,49690,8,DDR4,AMD Ryzen 5 Quad Core ,512,Windows,DELL
397,239990,32,DDR5,Intel Core i7 ,1,Windows,ASUS
398,73990,16,DDR4,Intel Core i5 ,512,Windows,MSI
400,52490,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
401,41990,8,DDR4,Intel Core i3 ,512,Windows,HP
402,29990,8,DDR4,Intel Pentium Quad Core ,256,Windows,ASUS
404,50490,8,DDR4,Intel Core i5 ,512,Windows,Nokia
405,96490,16,DDR4,Intel Core i7 ,512,Windows,acer
408,74990,16,LPDDR4X,Intel Core i5 ,512,Windows,MSI
409,51990,8,DDR4,Intel Core i5 ,512,Windows,ASUS
412,71345,8,DDR4,AMD Ryzen 5 Hexa Core ,256,Windows,ASUS
413,101490,16,DDR4,Intel Core i7 ,1,Windows,ASUS
414,274990,32,DDR5,Intel Core i7 ,1,Windows,MSI
415,199990,16,DDR5,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
418,41090,8,DDR4,Intel Core i3 ,256,Windows,DELL
419,50499,8,DDR4,Intel Core i5 ,256,Windows,Lenovo
422,78950,8,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,HP
423,67990,16,LPDDR4X,AMD Ryzen 5 Hexa Core ,512,Windows,Lenovo
424,187990,16,DDR4,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
425,102990,16,DDR4,Intel Core i7 ,1,Windows,Lenovo
428,35990,4,DDR4,Intel Core i3 ,256,DOS,ASUS
429,52575,8,DDR4,AMD Ryzen 5 Quad Core ,512,Windows,HP
432,50990,8,DDR4,AMD Ryzen 5 Quad Core ,512,Windows,DELL
433,60125,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
434,26490,4,DDR4,Intel Celeron Dual Core ,256,Windows,Lenovo
435,80249,8,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,HP
438,129999,128,DDR4,Intel Core i5 ,128,Windows,acer
439,76990,8,DDR4,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
442,36990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
443,107790,16,DDR4,Intel Core i7 ,512,Windows,MSI
444,75990,16,DDR4,Intel Core i5 ,512,Windows,DELL
445,95990,16,LPDDR4X,Intel Core i5 ,512,Windows,ASUS
448,61999,8,DDR4,Intel Core i5 ,512,Windows,acer
449,28990,8,DDR4,Intel Celeron Dual Core ,256,Windows,HP
452,54990,8,DDR4,Intel Core i5 ,512,Windows,Lenovo
453,56990,16,DDR4,Intel Core i7 ,512,Windows,ASUS
454,45990,8,DDR4,Intel Core i5 ,256,Windows,ASUS
455,38216,8,DDR4,Intel Core i3 ,512,Windows,ASUS
458,79990,8,DDR4,Intel Core i7 ,512,Windows,MSI
459,43990,4,DDR4,Intel Core i3 ,256,Windows,DELL
462,108250,16,DDR4,AMD Ryzen 7 Octa Core ,1,Windows,HP
